Elem	xi[0]	xi[1]	xi[2]	Y[0]	Y[1]	Y[2]	y[0]	y[1]	y[2]	Index
1	0.0	0.0	0.0	0.078169917	2.172949289	-0.566470828	0.0923088787961	1.57347297709	-0.178657643659	1
1	0.0	0.25	0.0	-0.505792682294	2.00887052402	-0.602439592098	-0.391292024291	1.44413621832	-0.260355070991	2
1	0.0	0.5	0.0	-1.08003466385	2.05060336412	-0.680421937674	-0.924290748191	1.39956010548	-0.375556339908	3
1	0.0	0.75	0.0	-1.60417183423	2.11958025415	-0.753935780163	-1.4815218783	1.37766803058	-0.476566696637	4
1	0.0	1.0	0.0	-2.03782	2.037233639	-0.776499035	-2.03782	1.31638338564	-0.515691387407	5
1	0.25	0.0	0.0	0.0795602355902	2.05214197414	-0.753414330313	0.104917998245	1.51975524702	-0.531481733531	6
1	0.25	0.25	0.0	-0.48829235428	1.8611113359	-0.773537776834	-0.377972059557	1.35566589439	-0.620637583314	7
1	0.25	0.5	0.0	-1.0623746776	1.81976594547	-0.842286596353	-0.915663029086	1.25431838929	-0.755618501798	8
1	0.25	0.75	0.0	-1.59402411193	1.80738409945	-0.900713690861	-1.47793749323	1.18433253705	-0.862494327947	9
1	0.25	1.0	0.0	-2.03457803487	1.70324409446	-0.889871962349	-2.03457803487	1.11432814305	-0.867334900728	10
1	0.5	0.0	0.0	0.0783636906301	1.86071644597	-0.98316128428	0.121784156493	1.40855772623	-0.988290220733	11
1	0.5	0.25	0.0	-0.474170384928	1.65333290852	-0.980702916871	-0.365034713484	1.21314029965	-1.06561178392	12
1	0.5	0.5	0.0	-1.05670262096	1.5473826786	-1.0209573158	-0.923603321989	1.06578480581	-1.17763004889	13
1	0.5	0.75	0.0	-1.60135807954	1.46251957028	-1.05982390469	-1.49998968606	0.949157115143	-1.26039994086	14
1	0.5	1.0	0.0	-2.04026182274	1.3183973976	-1.05320210719	-2.04026182274	0.845923098092	-1.24997638507	15
1	0.75	0.0	0.0	0.080262845605	1.63694722483	-1.19313395186	0.145277673168	1.26566781876	-1.44275081971	16
1	0.75	0.25	0.0	-0.461327112557	1.42553762436	-1.17273939474	-0.356280921971	1.0407960961	-1.49690700141	17
1	0.75	0.5	0.0	-1.04887755535	1.26340619184	-1.19136207801	-0.939485612292	0.846653726042	-1.58126261101	18
1	0.75	0.75	0.0	-1.60351718388	1.10808476871	-1.21500020636	-1.52822175299	0.685116366413	-1.63475238354	19
1	0.75	1.0	0.0	-2.04637469925	0.917105196441	-1.20965198444	-2.04637469925	0.55805967505	-1.59631105406	20
1	1.0	0.0	0.0	0.090940264	1.419108831	-1.320754595	0.177768867896	1.11687292868	-1.7885312449	21
1	1.0	0.25	0.0	-0.447662875484	1.21772786591	-1.29845159296	-0.35551162092	0.862869945761	-1.81615256438	22
1	1.0	0.5	0.0	-1.02475854218	0.99778911348	-1.328428865	-0.954683885388	0.609619520981	-1.90618781798	23
1	1.0	0.75	0.0	-1.57784487178	0.76717779681	-1.34997638055	-1.54317699019	0.405184892432	-1.95002050415	24
1	1.0	1.0	0.0	-2.04442	0.533779139	-1.302384109	-2.04442	0.297629298206	-1.83903412131	25
2	0.0	0.0	0.0	0.090940264	1.419108831	-1.320754595	0.177768867896	1.11687292868	-1.7885312449	26
