Elem	xi[0]	xi[1]	xi[2]	Y[0]	Y[1]	Y[2]	y[0]	y[1]	y[2]	Index
1	0.0	0.0	0.0	0.222770426	1.072382981	-0.66182574	0.336188881248	1.48686582595	0.239841518104	1
1	0.0	0.25	0.0	-0.263642038515	1.09393155317	-0.693637292854	-0.169462766199	1.50708258942	0.281625845535	2
1	0.0	0.5	0.0	-0.762943407917	1.15449574035	-0.745052374172	-0.69111264593	1.56898837598	0.334067969415	3
1	0.0	0.75	0.0	-1.25933046411	1.18727563786	-0.799896454654	-1.21740897963	1.60512151722	0.411450027914	4
1	0.0	1.0	0.0	-1.736999989	1.125471341	-0.841995005	-1.736999989	1.54802034475	0.5280541592	5
1	0.25	0.0	0.0	0.24425979187	1.03026663541	-0.815826639729	0.351942506448	1.4633978998	-0.0607608245591	6
1	0.25	0.25	0.0	-0.24187726772	1.05508216331	-0.864316051023	-0.147563928236	1.48500458759	-0.025072541482	7
1	0.25	0.5	0.0	-0.749372266097	1.123540167	-0.931101156799	-0.678466264572	1.55789739799	0.027098971802	8
1	0.25	0.75	0.0	-1.24952844742	1.17894116988	-1.00231652232	-1.21056210598	1.62096697653	0.092179917331	9
1	0.25	1.0	0.0	-1.71364905586	1.16458569535	-1.06409671285	-1.71364905586	1.61310396875	0.166596497143	10
1	0.5	0.0	0.0	0.248240311106	0.876229472035	-0.89192759165	0.34808346447	1.33040404072	-0.315985814974	11
1	0.5	0.25	0.0	-0.23855683415	0.918577090691	-0.964500030289	-0.141342576094	1.36588076631	-0.293570399222	12
1	0.5	0.5	0.0	-0.739763298524	0.99893114314	-1.07408534037	-0.664067268615	1.45458224202	-0.26931677492	13
1	0.5	0.75	0.0	-1.23031027059	1.07276007906	-1.18668811235	-1.18901969544	1.54361978537	-0.237294347325	14
1	0.5	1.0	0.0	-1.68512893893	1.09553234812	-1.26831293665	-1.68512893893	1.58010471388	-0.191572521689	15
1	0.75	0.0	0.0	0.247583748788	0.671903532647	-0.961411338496	0.337372244938	1.15212965625	-0.550616475766	16
1	0.75	0.25	0.0	-0.242209668068	0.730848385131	-1.05143552606	-0.146812019029	1.19683769578	-0.539432863868	17
1	0.75	0.5	0.0	-0.732971952883	0.821741501306	-1.19730361297	-0.655980638211	1.29760999162	-0.543570578635	18
1	0.75	0.75	0.0	-1.20926966344	0.908265992012	-1.34620270793	-1.16673321643	1.40643186887	-0.543943926077	19
1	0.75	1.0	0.0	-1.65566935753	0.954104968089	-1.44531991963	-1.65566935753	1.4752886526	-0.521467212203	20
1	1.0	0.0	0.0	0.25516187	0.478920859	-1.095560623	0.332569337475	0.992820153897	-0.78943582956	21
1	1.0	0.25	0.0	-0.241364699737	0.538328096444	-1.18236883373	-0.159985566302	1.0250019462	-0.778225071605	22
1	1.0	0.5	0.0	-0.727853676862	0.633044074043	-1.32405466267	-0.662271353517	1.12554773037	-0.784053747225	23
1	1.0	0.75	0.0	-1.19400035581	0.72499253537	-1.47405179227	-1.15765413735	1.24275515216	-0.794739978949	24
1	1.0	1.0	0.0	-1.629500031	0.776097224	-1.585793905	-1.629500031	1.32492185734	-0.798101889305	25
