Elem	xi[0]	xi[1]	xi[2]	Y[0]	Y[1]	Y[2]	y[0]	y[1]	y[2]	Index
1	0.0	0.0	0.0	0.222770426	1.072382981	-0.66182574	0.276380200912	1.44384710586	-0.0022167665444	1
1	0.0	0.25	0.0	-0.263642038515	1.09393155317	-0.693637292854	-0.213242281734	1.4611790803	0.0198696036221	2
1	0.0	0.5	0.0	-0.762943407917	1.15449574035	-0.745052374172	-0.724335386068	1.5231817109	0.0435639793336	3
1	0.0	0.75	0.0	-1.25933046411	1.18727563786	-0.799896454654	-1.23841574439	1.55346269851	0.087727117953	4
1	0.0	1.0	0.0	-1.736999989	1.125471341	-0.841995005	-1.736999989	1.47562974399	0.171219776843	5
1	0.25	0.0	0.0	0.24425979187	1.03026663541	-0.815826639729	0.28417715696	1.40399750062	-0.251311139746	6
1	0.25	0.25	0.0	-0.24187726772	1.05508216331	-0.864316051023	-0.199405126192	1.42299395967	-0.238549527124	7
1	0.25	0.5	0.0	-0.749372266097	1.123540167	-0.931101156799	-0.712075095704	1.49622387483	-0.218961156375	8
1	0.25	0.75	0.0	-1.24952844742	1.17894116988	-1.00231652232	-1.22607549209	1.55765471385	-0.189025044394	9
1	0.25	1.0	0.0	-1.71364905586	1.16458569535	-1.06409671285	-1.71364905586	1.54125394445	-0.145220208077	10
1	0.5	0.0	0.0	0.248240311106	0.876229472035	-0.89192759165	0.289155564927	1.2581230613	-0.434546882209	11
1	0.5	0.25	0.0	-0.23855683415	0.918577090691	-0.964500030289	-0.196349764518	1.29254023924	-0.43702084949	12
1	0.5	0.5	0.0	-0.739763298524	0.99893114314	-1.07408534037	-0.704814185207	1.37669808591	-0.451942868653	13
1	0.5	0.75	0.0	-1.23031027059	1.07276007906	-1.18668811235	-1.20986485679	1.46002137516	-0.463963338449	14
1	0.5	1.0	0.0	-1.68512893893	1.09553234812	-1.26831293665	-1.68512893893	1.49193488085	-0.457732657626	15
1	0.75	0.0	0.0	0.247583748788	0.671903532647	-0.961411338496	0.293869224022	1.0686552154	-0.602287683095	16
1	0.75	0.25	0.0	-0.242209668068	0.730848385131	-1.05143552606	-0.197801153315	1.11410797863	-0.615292400797	17
1	0.75	0.5	0.0	-0.732971952883	0.821741501306	-1.19730361297	-0.700614162457	1.2041761636	-0.663161462128	18
1	0.75	0.75	0.0	-1.20926966344	0.908265992012	-1.34620270793	-1.19357012375	1.30062185471	-0.714158369419	19
1	0.75	1.0	0.0	-1.65566935753	0.954104968089	-1.44531991963	-1.65566935753	1.36520713638	-0.736546625	20
1	1.0	0.0	0.0	0.25516187	0.478920859	-1.095560623	0.300871933457	0.898025390431	-0.804897231562	21
1	1.0	0.25	0.0	-0.241364699737	0.538328096444	-1.18236883373	-0.197484249187	0.931987237433	-0.813112218366	22
1	1.0	0.5	0.0	-0.727853676862	0.633044074043	-1.32405466267	-0.697536535332	1.01822992737	-0.860397241427	23
1	1.0	0.75	0.0	-1.19400035581	0.72499253537	-1.47405179227	-1.1809775782	1.11951532479	-0.916680742513	24
1	1.0	1.0	0.0	-1.629500031	0.776097224	-1.585793905	-1.629500031	1.19860529423	-0.951891163395	25
2	0.0	0.0	0.0	0.25516187	0.478920859	-1.095560623	0.300871933457	0.898025390431	-0.804897231562	26
2	0.0	0.25	0.0	-0.241364699737	0.538328096444	-1.18236883373	-0.197484249187	0.931987237433	-0.813112218366	27
2	0.0	0.5	0.0	-0.727853676862	0.633044074043	-1.32405466267	-0.697536535332	1.01822992737	-0.860397241427	28
