Elem	xi[0]	xi[1]	xi[2]	Y[0]	Y[1]	Y[2]	y[0]	y[1]	y[2]	Index
1	0.0	0.0	0.0	0.286175336	2.189973286	-0.291273722	0.192588152044	2.41375021684	0.386327103909	1
1	0.0	0.25	0.0	-0.20806914714	2.06272602387	-0.289080467095	-0.282920502076	2.28730509319	0.386461687482	2
1	0.0	0.5	0.0	-0.695301118249	1.97602389512	-0.29632619097	-0.74085091395	2.19316971543	0.414845711187	3
1	0.0	0.75	0.0	-1.18241619623	1.88830775081	-0.29699114836	-1.19928633084	2.104523886	0.470394906562	4
1	0.0	1.0	0.0	-1.67631	1.758018442	-0.275055594	-1.67631	1.99454740734	0.552025005147	5
1	0.25	0.0	0.0	0.321687515997	2.06262178045	-0.514775502281	0.240148780521	2.36343777098	0.0285329358588	6
1	0.25	0.25	0.0	-0.182277427138	1.91229534526	-0.525597356885	-0.24932664233	2.19147113985	-0.00508193265177	7
1	0.25	0.5	0.0	-0.681311017678	1.81012566903	-0.547696835847	-0.725068701844	2.06748058313	0.000479071562224	8
1	0.25	0.75	0.0	-1.18065615897	1.71742627201	-0.555307781995	-1.1996281539	1.9780382663	0.0581545623271	9
1	0.25	1.0	0.0	-1.68555575435	1.59551067447	-0.522664038158	-1.68555575435	1.90971635485	0.180883153469	10
1	0.5	0.0	0.0	0.381824743113	1.8542079148	-0.761240423262	0.31152448146	2.24927260178	-0.378838801845	11
1	0.5	0.25	0.0	-0.151058843958	1.68246792622	-0.781509897119	-0.200640314182	2.02307902462	-0.420507222489	12
1	0.5	0.5	0.0	-0.670355760303	1.573989145	-0.813470892897	-0.69932975475	1.86781760461	-0.435128404081	13
1	0.5	0.75	0.0	-1.1857569057	1.48669209407	-0.830270988567	-1.19721149256	1.78155451362	-0.381679064754	14
1	0.5	1.0	0.0	-1.70695317992	1.37849729632	-0.805057762099	-1.70695317992	1.7623559235	-0.21913592264	15
1	0.75	0.0	0.0	0.433447910673	1.5909861995	-0.974858447862	0.37551919328	2.06401168867	-0.769400203601	16
1	0.75	0.25	0.0	-0.126461022992	1.41071100347	-1.00075545901	-0.159459967951	1.78624770546	-0.798970608415	17
1	0.75	0.5	0.0	-0.663961843134	1.29802156124	-1.03575264386	-0.677901021149	1.59885944057	-0.815572236435	18
1	0.75	0.75	0.0	-1.19147326792	1.2097501229	-1.05397666593	-1.19386526934	1.51020666166	-0.756348371134	19
1	0.75	1.0	0.0	-1.72141401553	1.10272893852	-1.02955418874	-1.72141401553	1.52864913639	-0.558442295984	20
1	1.0	0.0	0.0	0.443417912	1.299211145	-1.099819539	0.400936854396	1.8004120111	-1.07676336381	21
1	1.0	0.25	0.0	-0.120531589629	1.13449181374	-1.12727141378	-0.148384053953	1.48509614033	-1.07962851682	22
1	1.0	0.5	0.0	-0.66365576318	1.01263015594	-1.15664637047	-0.675049449522	1.26528475169	-1.06444794619	23
1	1.0	0.75	0.0	-1.19156007714	0.900245264417	-1.15852071193	-1.19141840673	1.15912874414	-0.973095753267	24
1	1.0	1.0	0.0	-1.70985	0.763956232	-1.103470741	-1.70985	1.18477901663	-0.747446039368	25
2	0.0	0.0	0.0	0.443417912	1.299211145	-1.099819539	0.400936854396	1.8004120111	-1.07676336381	26
2	0.0	0.25	0.0	-0.120531589629	1.13449181374	-1.12727141378	-0.148384053953	1.48509614033	-1.07962851682	27
2	0.0	0.5	0.0	-0.66365576318	1.01263015594	-1.15664637047	-0.675049449522	1.26528475169	-1.06444794619	28
2	0.0	0.75	0.0	-1.19156007714	0.900245264417	-1.15852071193	-1.19141840673	1.15912874414	-0.973095753267	29
2	0.0	1.0	0.0	-1.70985	0.763956232	-1.103470741	-1.70985	1.18477901663	-0.747446039368	30
2	0.25	0.0	0.0	0.41137200817	0.973945737329	-1.16264329407	0.375718832005	1.44059706987	-1.29188246428	31
2	0.25	0.25	0.0	-0.125937196177	0.845944989711	-1.18671935097	-0.163386869901	1.14533007914	-1.25853042613	32
2	0.25	0.5	0.0	-0.652741158674	0.732253445556	-1.2023431927	-0.682141917477	0.946650751781	-1.18606653448	33
