Elem	xi[0]	xi[1]	xi[2]	Y[0]	Y[1]	Y[2]	y[0]	y[1]	y[2]	Index
1	0.0	0.0	0.0	0.126057866	1.912086343	-0.591083372	0.128426251399	1.81846593222	0.470007336958	1
1	0.0	0.25	0.0	-0.419804864485	2.10869098381	-0.634559361427	-0.428398189972	1.93613642753	0.49367624182	2
1	0.0	0.5	0.0	-0.970478513362	2.33926215114	-0.701533527468	-0.968219902952	2.09434395147	0.534575867736	3
1	0.0	0.75	0.0	-1.50576845181	2.5546018894	-0.764585300524	-1.49319511436	2.23577875436	0.612918086435	4
1	0.0	1.0	0.0	-2.005480051	2.705512243	-0.796294111	-2.005480051	2.30313108652	0.748914769645	5
1	0.25	0.0	0.0	0.179865338417	1.86203097766	-0.836521128149	0.172555215257	1.78821754511	0.110913770644	6
1	0.25	0.25	0.0	-0.372409697729	2.07810643399	-0.882452334762	-0.38042836095	1.90554224532	0.120424730767	7
1	0.25	0.5	0.0	-0.933584196172	2.35615242854	-0.945772430486	-0.933586263024	2.09063698086	0.141928560472	8
1	0.25	0.75	0.0	-1.4796111967	2.62181873121	-1.00738663881	-1.47342316455	2.27426284282	0.20176989981	9
1	0.25	1.0	0.0	-1.98644373911	2.80075511189	-1.04820018321	-1.98644373911	2.38718092229	0.326293388831	10
1	0.5	0.0	0.0	0.242200698184	1.72694330858	-1.14391420796	0.261870597089	1.70010607913	-0.283665317782	11
1	0.5	0.25	0.0	-0.314346155784	1.96102741693	-1.19900782523	-0.294285177404	1.80683971187	-0.325406879352	12
1	0.5	0.5	0.0	-0.887756787071	2.26002022244	-1.2694337101	-0.866575772081	1.98371702938	-0.334516222441	13
1	0.5	0.75	0.0	-1.44742681571	2.54183675468	-1.34280665667	-1.43079879688	2.17067443052	-0.292436117393	14
1	0.5	1.0	0.0	-1.96275186173	2.72439204318	-1.40674145903	-1.96275186173	2.30764831416	-0.180609334552	15
1	0.75	0.0	0.0	0.283729682359	1.57432900821	-1.47058980929	0.350177555992	1.59185309173	-0.649207844245	16
1	0.75	0.25	0.0	-0.274371649151	1.81142460364	-1.52417995233	-0.222327264856	1.67665823191	-0.745860532399	17
1	0.75	0.5	0.0	-0.850008363519	2.10584968816	-1.58751357195	-0.810878466935	1.8247066141	-0.783570923116	18
1	0.75	0.75	0.0	-1.41433511478	2.37601158306	-1.66286413781	-1.39107268579	1.99131972067	-0.758408224581	19
1	0.75	1.0	0.0	-1.93850655699	2.54031760963	-1.75250511959	-1.93850655699	2.13181903397	-0.666441644978	20
1	1.0	0.0	0.0	0.275118028	1.471693749	-1.77387513	0.391281251059	1.50118014033	-0.921191724673	21
1	1.0	0.25	0.0	-0.281243588327	1.68326866514	-1.79792283555	-0.21691324883	1.55162721017	-1.04297817224	22
1	1.0	0.5	0.0	-0.837351002975	1.94862498102	-1.81500822167	-0.810184384399	1.6647282521	-1.09404798367	23
1	1.0	0.75	0.0	-1.38545589989	2.18569883964	-1.85957786596	-1.37999550575	1.80250491646	-1.08485468116	24
1	1.0	1.0	0.0	-1.917809963	2.312426384	-1.966078346	-1.917809963	1.92697885356	-1.02585178692	25
2	0.0	0.0	0.0	0.275118028	1.471693749	-1.77387513	0.391281251059	1.50118014033	-0.921191724673	26
2	0.0	0.25	0.0	-0.281243588327	1.68326866514	-1.79792283555	-0.21691324883	1.55162721017	-1.04297817224	27
2	0.0	0.5	0.0	-0.837351002975	1.94862498102	-1.81500822167	-0.810184384399	1.6647282521	-1.09404798367	28
2	0.0	0.75	0.0	-1.38545589989	2.18569883964	-1.85957786596	-1.37999550575	1.80250491646	-1.08485468116	29
2	0.0	1.0	0.0	-1.917809963	2.312426384	-1.966078346	-1.917809963	1.92697885356	-1.02585178692	30
2	0.25	0.0	0.0	0.247804857106	1.48845714839	-1.99757100902	0.360180517112	1.50402906101	-1.13926980076	31
2	0.25	0.25	0.0	-0.296784634702	1.62270554058	-1.99620051932	-0.248270792214	1.49009242942	-1.26077353874	32
2	0.25	0.5	0.0	-0.833989458493	1.80338483014	-1.97049360533	-0.830452585578	1.53400290516	-1.31958679422	33
2	0.25	0.75	0.0	-1.36405074818	1.9602928241	-1.96259420862	-1.37916536629	1.60318376156	-1.31297465416	34
2	0.25	1.0	0.0	-1.88720963766	2.02322732952	-2.01464627075	-1.88720963766	1.66505827199	-1.23820220552	35
2	0.5	0.0	0.0	0.228179332454	1.56838473646	-2.24435938485	0.291496264091	1.56709555903	-1.44732247131	36
2	0.5	0.25	0.0	-0.296586407474	1.58250319655	-2.22780714011	-0.275028208447	1.45684889296	-1.55528821515	37
2	0.5	0.5	0.0	-0.829878872637	1.63459087386	-2.16269719633	-0.838639317662	1.39558559352	-1.59569985359	38
2	0.5	0.75	0.0	-1.35241721764	1.67683615652	-2.07194331616	-1.3712868513	1.36120495718	-1.5420610916	39
2	0.5	1.0	0.0	-1.8449205971	1.66142743262	-1.97845926224	-1.8449205971	1.33160628036	-1.36787563417	40
2	0.75	0.0	0.0	0.215337818324	1.63618634356	-2.48009843225	0.22672383267	1.62165282337	-1.7684109919	41
2	0.75	0.25	0.0	-0.288025821008	1.53499856282	-2.44895747823	-0.295646547862	1.41580498034	-1.85574870889	42
2	0.75	0.5	0.0	-0.820736944956	1.45649181822	-2.33831836825	-0.847098069456	1.24044995058	-1.85711592522	43
2	0.75	0.75	0.0	-1.34202233103	1.37916284213	-2.15767438036	-1.37109678734	1.09983630569	-1.73663502656	44
2	0.75	1.0	0.0	-1.81110875673	1.28150836691	-1.91651879261	-1.81110875673	0.998212617274	-1.45842839862	45
2	1.0	0.0	0.0	0.208376679	1.6165718	-2.670646326	0.207358563524	1.59897404299	-2.0255966181	46
2	1.0	0.25	0.0	-0.278479789674	1.4525285692	-2.61586631401	-0.30858686079	1.33086907115	-2.0913815274	47
2	1.0	0.5	0.0	-0.802281374999	1.28333636926	-2.44405649466	-0.868182329759	1.0595696097	-2.03856377256	48
2	1.0	0.75	0.0	-1.32433311107	1.11110688618	-2.18983659298	-1.39333200097	0.842345609486	-1.8612174921	49
2	1.0	1.0	0.0	-1.805940032	0.937951806	-1.887826334	-1.805940032	0.736467021321	-1.55341682458	50
5	0.0	0.0	0.0	0.208376679	1.6165718	-2.670646326	0.207358563524	1.59897404299	-2.0255966181	51
5	0.0	0.25	0.0	-0.278479789674	1.4525285692	-2.61586631401	-0.30858686079	1.33086907115	-2.0913815274	52
5	0.0	0.5	0.0	-0.802281374999	1.28333636926	-2.44405649466	-0.868182329759	1.0595696097	-2.03856377256	53
5	0.0	0.75	0.0	-1.32433311107	1.11110688618	-2.18983659298	-1.39333200097	0.842345609486	-1.8612174921	54
5	0.0	1.0	0.0	-1.805940032	0.937951806	-1.887826334	-1.805940032	0.736467021321	-1.55341682458	55
5	0.25	0.0	0.0	0.187423868271	0.982617324758	-3.0276876821	0.240391241723	0.912412839619	-2.63368734275	56
5	0.25	0.25	0.0	-0.301558184728	0.864334437771	-2.86719957168	-0.345683637784	0.680789384871	-2.58877553304	57
5	0.25	0.5	0.0	-0.812621427846	0.731000800147	-2.54512692396	-0.939717847977	0.451689074251	-2.36902510608	58
5	0.25	0.75	0.0	-1.34434987785	0.589428357427	-2.16258423704	-1.47762721163	0.308105367525	-2.0447194221	59
5	0.25	1.0	0.0	-1.89532755153	0.446429055149	-1.82068600901	-1.89532755153	0.333031724458	-1.68614184137	60
5	0.5	0.0	0.0	0.163694697738	-0.0151725091157	-2.97710744212	0.234415872573	-0.208710804095	-2.89108740954	61
5	0.5	0.25	0.0	-0.36118777184	-0.0422688070027	-2.73219674994	-0.405597018989	-0.349045240263	-2.72877198408	62
5	0.5	0.5	0.0	-0.885293447685	-0.071959717828	-2.39684330894	-1.01954723699	-0.421479215023	-2.49142898903	63
5	0.5	0.75	0.0	-1.44227203341	-0.0854332926292	-2.01795346217	-1.5815631765	-0.386865115154	-2.17682024837	64
5	0.5	1.0	0.0	-2.06577323261	-0.0638775824441	-1.64243355264	-2.06577323261	-0.206055327435	-1.78270758606	65
5	0.75	0.0	0.0	0.143112238836	-1.10023021543	-2.74798829958	0.241458056063	-1.38465448431	-2.88432802877	66
5	0.75	0.25	0.0	-0.427744883957	-1.03300912243	-2.49048794825	-0.437844337799	-1.42157828354	-2.67355751329	67
5	0.75	0.5	0.0	-0.979291844845	-0.928063359454	-2.19022008447	-1.07146860343	-1.31948928705	-2.4857825533	68
5	0.75	0.75	0.0	-1.56630978039	-0.773377828063	-1.83751572359	-1.66988901011	-1.10421311078	-2.25210019245	69
5	0.75	1.0	0.0	-2.24357982714	-0.556937429815	-1.42270588094	-2.24357982714	-0.801575370666	-1.90360747441	70
5	1.0	0.0	0.0	0.131599563	-1.995988308	-2.569412948	0.313543392185	-2.23567579718	-2.69994041072	71
5	1.0	0.25	0.0	-0.471605854026	-1.87361446582	-2.4217032661	-0.391942927606	-2.19975322425	-2.58531875345	72
5	1.0	0.5	0.0	-1.05361102965	-1.63982829952	-2.1162716854	-1.05928005394	-2.00189517077	-2.43209293075	73
5	1.0	0.75	0.0	-1.66467332146	-1.33430501295	-1.7028424765	-1.70735382701	-1.70558589159	-2.26513947589	74
5	1.0	1.0	0.0	-2.355050087	-0.99671981	-1.23113991	-2.355050087	-1.37430964154	-2.10933492217	75
6	0.0	0.0	0.0	0.131599563	-1.995988308	-2.569412948	0.313543392185	-2.23567579718	-2.69994041072	76
6	0.0	0.25	0.0	-0.471605854026	-1.87361446582	-2.4217032661	-0.391942927606	-2.19975322425	-2.58531875345	77
6	0.0	0.5	0.0	-1.05361102965	-1.63982829952	-2.1162716854	-1.05928005394	-2.00189517077	-2.43209293075	78
6	0.0	0.75	0.0	-1.66467332146	-1.33430501295	-1.7028424765	-1.70735382701	-1.70558589159	-2.26513947589	79
6	0.0	1.0	0.0	-2.355050087	-0.99671981	-1.23113991	-2.355050087	-1.37430964154	-2.10933492217	80
6	0.25	0.0	0.0	0.208390968375	-2.7358283053	-2.2549677902	0.438285103961	-2.90515013851	-2.28251640115	81
6	0.25	0.25	0.0	-0.412777726775	-2.58139808899	-2.21603175027	-0.293721765847	-2.84726739375	-2.28188592426	82
6	0.25	0.5	0.0	-1.02808623856	-2.27382806304	-1.92630271424	-0.999858699598	-2.63720007388	-2.14392130342	83
6	0.25	0.75	0.0	-1.67430854845	-1.89754812235	-1.48733815081	-1.69354966703	-2.34473784242	-2.015980285	84
6	0.25	1.0	0.0	-2.38821863789	-1.5369881618	-1.00069552862	-2.38821863789	-2.03967036294	-2.0454206154	85
6	0.5	0.0	0.0	0.376511815652	-3.493823546	-1.60902542076	0.553173134959	-3.70988590362	-1.61774096221	86
